#r     goo      goh      ghh
19.59 0.9996   1.0000   0.9998
19.62 0.9999   1.0002   1.0000
19.65 1.0002   1.0003   1.0001
19.68 0.9998   1.0002   1.0000
19.71 0.9999   1.0002   1.0000
19.74 1.0000   1.0001   1.0000
19.77 1.0001   1.0001   0.9998
19.80 1.0001   1.0001   0.9998
19.83 1.0001   1.0001   1.0000
19.86 1.0002   1.0001   1.0000
19.89 1.0003   1.0002   0.9999
19.92 1.0002   1.0000   0.9999
19.95 1.0002   1.0000   0.9999
19.98 1.0002   1.0000   1.0000
20.01 1.0001   0.9998   0.9998
20.04 1.0003   1.0001   1.0000
20.07 1.0002   1.0001   0.9999
20.10 1.0003   1.0000   1.0000
20.13 1.0004   1.0001   1.0001
20.16 1.0003   1.0002   1.0000
20.19 1.0004   1.0002   1.0001
20.22 1.0002   1.0000   1.0000
20.25 1.0002   0.9999   0.9999
20.28 1.0001   0.9999   0.9999
20.31 1.0003   1.0000   1.0001
20.34 1.0002   1.0000   0.9999
20.37 1.0000   0.9999   1.0000
20.40 1.0005   1.0001   1.0001
20.43 1.0001   1.0000   1.0001
20.46 1.0002   0.9998   1.0001
20.49 1.0003   1.0000   1.0001
20.52 1.0000   0.9998   0.9999
20.55 1.0000   0.9999   1.0000
20.58 1.0001   1.0000   1.0001
20.61 1.0000   0.9998   1.0000
20.64 1.0002   1.0000   1.0000
20.67 1.0000   0.9998   0.9998
20.70 0.9999   0.9999   1.0000
20.73 1.0000   1.0000   1.0000
20.76 1.0000   0.9998   1.0000
20.79 1.0000   0.9999   1.0000
20.82 0.9999   0.9998   1.0000
20.85 0.9996   0.9997   1.0000
20.88 0.9995   0.9998   0.9999
20.91 0.9997   0.9997   0.9999
20.94 0.9997   0.9998   1.0000
20.97 0.9997   0.9997   0.9997
21.00 0.9995   0.9999   0.9998
21.03 0.9996   0.9999   0.9998
21.06 0.9995   0.9999   0.9998
21.09 0.9999   1.0000   0.9999
21.12 0.9998   0.9999   0.9999
21.15 0.9996   0.9999   0.9999
21.18 0.9995   0.9997   0.9996
21.21 1.0000   1.0000   1.0000
21.24 0.9999   1.0000   0.9999
21.27 0.9997   1.0000   0.9999
21.30 0.9997   1.0000   0.9999
21.33 0.9996   0.9999   0.9997
21.36 0.9997   0.9999   0.9998
